セクション,項目,东风本田S7 2025款 开拓者版,东风本田S7 2025款 领航者版,
驾驶功能,卫星导航系统,●,●,–
驾驶功能,导航路况信息显示,●,●,–
驾驶功能,地图品牌,● 百度,● 百度,–
驾驶功能,AR实景导航,○,●,–
驾驶功能,并线辅助,●,●,–
驾驶功能,车道保持辅助系统,●,●,–
驾驶功能,车道居中保持,●,●,–
驾驶功能,道路交通标识识别,●,●,–
驾驶功能,辅助泊车入位,○,○,–
驾驶功能,遥控泊车,○,○,–
驾驶功能,辅助变道,●,●,–
驾驶功能,辅助匝道自动驶出(入),○,○,–
驾驶功能,辅助驾驶路段,○ 高速路段,○ 高速路段,–
外观/防盗,轮圈材质,● 铝合金,● 铝合金,–
外观/防盗,电动后备厢,●,●,–
外观/防盗,感应后备厢,-,●,–
外观/防盗,电动后备厢位置记忆,●,●,–
外观/防盗,车内中控锁,●,●,–
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",–
外观/防盗,无钥匙启动系统,●,●,–
外观/防盗,无钥匙进入功能,●,●,–
外观/防盗,隐藏电动门把手,●,●,–
外观/防盗,远程启动功能,●,●,–
外观/防盗,电池预加热,●,●,–
外观/防盗,对外放电,●,●,–
车外灯光,近光灯光源,● LED,● LED,–
车外灯光,远光灯光源,● LED,● LED,–
车外灯光,LED日间行车灯,●,●,–
车外灯光,自适应远近光,●,●,–
车外灯光,自动头灯,●,●,–
车外灯光,转向头灯,●,●,–
车外灯光,车前雾灯,-,-,–
车外灯光,大灯高度可调,●,●,–
车外灯光,大灯延时关闭,●,●,–
天窗/玻璃,天窗类型,● 分段式不可开启天窗,● 分段式不可开启天窗,–
天窗/玻璃,光感天幕,○,●,–
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,–
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,–
天窗/玻璃,车窗防夹手功能,●,●,–
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排","● 前排
● 后排",–
天窗/玻璃,后排侧隐私玻璃,●,●,–
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯",–
天窗/玻璃,后雨刷,●,●,–
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,–
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠",-,–
外后视镜,电子外后视镜功能,"○ 电动调节
○ 后视镜记忆
○ 倒车辅助
○ 自动防眩目","● 电动调节
● 后视镜记忆
● 倒车辅助
● 自动防眩目",–
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,–
互联/智能化,中控屏幕尺寸,● 12.8英寸,● 12.8英寸,–
互联/智能化,中控下屏幕尺寸,● 10.25英寸,● 10.25英寸,–
互联/智能化,蓝牙/车载电话,●,●,–
互联/智能化,手机互联/映射,"● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar",–
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风",–
互联/智能化,语音助手唤醒词,● 你好，本田,● 你好，本田,–
互联/智能化,语音免唤醒词,●,●,–
互联/智能化,语音分区域唤醒识别,● 四区域,● 四区域,–
互联/智能化,语音连续识别,●,●,–
互联/智能化,可见即可说,●,●,–
互联/智能化,手势控制,●,●,–
互联/智能化,面部识别,●,●,–
互联/智能化,应用商店,●,●,–
互联/智能化,车载智能系统,● Honda Connect 4.0,● Honda Connect 4.0,–
互联/智能化,车机智能芯片,● 高通骁龙8155,● 高通骁龙8155,–
互联/智能化,车联网,●,●,–
互联/智能化,4G/5G网络,● 5G,● 5G,–
互联/智能化,OTA升级,●,●,–
互联/智能化,车内生物监测系统,●,●,–
互联/智能化,手机APP远程功能,"● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）",–
互联/智能化,车载KTV,●,●,–
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,–
方向盘/内后视镜,方向盘位置调节,● 电动上下+前后调节,● 电动上下+前后调节,–
方向盘/内后视镜,换挡形式,● 按键式换挡,● 按键式换挡,–
方向盘/内后视镜,多功能方向盘,●,●,–
方向盘/内后视镜,方向盘加热,●,●,–
方向盘/内后视镜,方向盘记忆,●,●,–
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,–
方向盘/内后视镜,全液晶仪表盘,●,●,–
方向盘/内后视镜,液晶仪表尺寸,● 9.9英寸,● 9.9英寸,–
方向盘/内后视镜,AR-HUD增强现实抬头显示,●,●,–
方向盘/内后视镜,HUD抬头尺寸,● 41.9英寸,● 41.9英寸,–
方向盘/内后视镜,内后视镜功能,"● 自动防眩目
○ 流媒体","● 自动防眩目
● 流媒体",–
方向盘/内后视镜,ETC装置,●,●,–
车内充电,多媒体/充电接口,● Type-C,● Type-C,–
车内充电,USB/Type-C接口数量,"● 前排2个/后排2个
○ 前排4个/后排2个",● 前排4个/后排2个,–
车内充电,手机无线充电功能,● 前排,● 前排,–
车内充电,手机无线充电功率,● 20W,● 20W,–
车内充电,行李厢12V电源接口,●,●,–
座椅配置,座椅材质,● 仿皮,● 皮/翻毛材质混搭,–
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)",–
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节",–
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,–
座椅配置,前排座椅功能,"● 加热
○ 头枕扬声器","● 加热
● 通风
● 头枕扬声器",–
座椅配置,电动座椅记忆功能,● 驾驶位,● 驾驶位,–
座椅配置,副驾驶位后排可调节按钮,-,-,–
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,–
座椅配置,第二排座椅功能,● 加热,"● 加热
● 通风",–
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,–
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,–
座椅配置,后排杯架,●,●,–
音响/车内灯光,扬声器品牌名称,○ BOSE,● BOSE,–
音响/车内灯光,扬声器数量,"● 8喇叭
○ 16喇叭",● 16喇叭,–
音响/车内灯光,车内环境氛围灯,● 多色,● 多色,–
音响/车内灯光,主动式环境氛围灯,●,●,–
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,–
空调/冰箱,热泵空调,●,●,–
空调/冰箱,后排独立空调,-,-,–
空调/冰箱,后座出风口,●,●,–
空调/冰箱,温度分区控制,●,●,–
空调/冰箱,车载空气净化器,●,●,–
空调/冰箱,车内PM2.5过滤装置,●,●,–
空调/冰箱,车内香氛装置,●,●,–
空调/冰箱,空气质量监测,●,●,–
颜色,外观颜色,–,–,–
颜色,内饰颜色,–,–,–
选装包,特别驾驶模式后驱版,○ 选配 (1000元),-,–
选装包,极速选装包,○ 选配 (9000元),-,–
选装包,智驾辅助系统升级包,○ 选配 (14000元),○ 选配 (14000元),–
选装包,舒享选装包,○ 选配 (19000元),-,–
选装包,特别驾驶模式四驱版,-,○ 选配 (6000元),–
