セクション,項目,飞度 2026款 1.5L CVT焕新版,
驾驶功能,辅助泊车入位,-,–
外观/防盗,外观套件,● 运动风格,–
外观/防盗,轮圈材质,● 钢,–
外观/防盗,发动机电子防盗,●,–
外观/防盗,车内中控锁,●,–
外观/防盗,钥匙类型,● 遥控钥匙,–
外观/防盗,无钥匙启动系统,●,–
外观/防盗,无钥匙进入功能,-,–
车外灯光,近光灯光源,● LED,–
车外灯光,远光灯光源,● LED,–
车外灯光,LED日间行车灯,●,–
车外灯光,自适应远近光,-,–
车外灯光,自动头灯,●,–
车外灯光,车前雾灯,-,–
车外灯光,大灯高度可调,●,–
车外灯光,大灯延时关闭,●,–
天窗/玻璃,天窗类型,-,–
天窗/玻璃,前/后电动车窗,前 ● /后 ●,–
天窗/玻璃,车窗一键升降功能,● 驾驶位,–
天窗/玻璃,车窗防夹手功能,●,–
天窗/玻璃,车内化妆镜,● 主驾位,–
天窗/玻璃,后雨刷,●,–
天窗/玻璃,感应雨刷功能,-,–
外后视镜,外后视镜功能,● 电动调节,–
互联/智能化,中控彩色屏幕,● 触控液晶屏,–
互联/智能化,中控屏幕尺寸,● 10.1英寸,–
互联/智能化,蓝牙/车载电话,●,–
互联/智能化,手机互联/映射,"● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar",–
互联/智能化,语音识别控制系统,-,–
互联/智能化,车联网,-,–
互联/智能化,OTA升级,-,–
方向盘/内后视镜,方向盘材质,● 塑料,–
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,–
方向盘/内后视镜,换挡形式,● 机械挡把换挡,–
方向盘/内后视镜,多功能方向盘,●,–
方向盘/内后视镜,方向盘加热,-,–
方向盘/内后视镜,方向盘记忆,-,–
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,–
方向盘/内后视镜,全液晶仪表盘,●,–
方向盘/内后视镜,液晶仪表尺寸,● 7英寸,–
方向盘/内后视镜,内后视镜功能,● 手动防眩目,–
车内充电,多媒体/充电接口,● USB,–
车内充电,USB/Type-C接口数量,● 前排1个,–
车内充电,手机无线充电功能,-,–
座椅配置,座椅材质,● 织物,–
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)",–
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节",–
座椅配置,主/副驾驶座电动调节,-,–
座椅配置,前排座椅功能,-,–
座椅配置,电动座椅记忆功能,-,–
座椅配置,副驾驶位后排可调节按钮,-,–
座椅配置,第二排座椅调节,-,–
座椅配置,后排座椅放倒形式,● 整体放倒,–
座椅配置,前/后中央扶手,-,–
座椅配置,后排杯架,●,–
音响/车内灯光,扬声器品牌名称,-,–
音响/车内灯光,扬声器数量,● 2喇叭,–
音响/车内灯光,车内环境氛围灯,-,–
空调/冰箱,空调温度控制方式,● 手动空调,–
空调/冰箱,后排独立空调,-,–
空调/冰箱,后座出风口,-,–
空调/冰箱,温度分区控制,-,–
空调/冰箱,车载空气净化器,-,–
空调/冰箱,车内PM2.5过滤装置,●,–
颜色,外观颜色,–,–
颜色,内饰颜色,–,–
